"Tâche","Plante","Type","Date","Fréquence","Statut","Notes"
"Arroser le Peperomia","Peperomia grimpant","Arrosage","2026-05-30","Tous les 7 à 10 jours","À faire","Laisser sécher le 1er cm de terre. Craint l'excès d'eau."
"Rempoter le Peperomia","Peperomia grimpant","Rempotage","2027-08-20","Tous les 12 à 18 mois","À faire","Au printemps, substrat léger et drainant."
"Engrais Peperomia","Peperomia grimpant","Engrais","2026-06-05","Tous les 15 jours (printemps-été)","À faire","Engrais plantes vertes dilué. Stop en hiver."
"Contrôler le Peperomia","Peperomia grimpant","Surveillance","2026-06-20","Contrôle mensuel","À faire","Feuilles molles = trop d'eau ; tiges allongées = manque de lumière."
"Arroser la Sansevieria","Langue de belle-mère","Arrosage","2026-06-08","Tous les 14 à 21 jours","À faire","Laisser sécher complètement. 1 fois/mois en hiver."
"Rempoter la Sansevieria","Langue de belle-mère","Rempotage","2028-11-18","Tous les 2 à 3 ans","À faire","Quand les racines déforment le pot. Substrat cactées."
"Engrais Sansevieria","Langue de belle-mère","Engrais","2026-07-16","Toutes les 8 semaines (printemps-été)","À faire","Engrais cactées dilué. Aucun apport hors saison."
"Contrôler la Sansevieria","Langue de belle-mère","Surveillance","2026-06-20","Contrôle mensuel","À faire","Base molle = pourriture ; feuilles couchées = manque de lumière."
"Arroser le Clivia","Clivia","Arrosage","2026-06-01","Tous les 7 à 14 jours (croissance)","À faire","Réduire fortement en hiver pour le repos / la floraison."
"Rempoter le Clivia","Clivia","Rempotage","2029-11-19","Tous les 3 à 4 ans","À faire","Fleurit mieux à l'étroit. Rempoter après floraison."
"Engrais Clivia","Clivia","Engrais","2026-06-04","Toutes les 2 semaines (printemps-été)","À faire","Engrais plantes fleuries. Stop pendant le repos hivernal."
"Contrôler le Clivia","Clivia","Surveillance","2026-06-20","Contrôle mensuel","À faire","Penser au repos hivernal au frais (10–12 °C) pour refleurir."
"Arroser le Clusia","Clusia « Princess »","Arrosage","2026-05-30","Tous les 7 à 10 jours","À faire","Laisser sécher les 2 premiers centimètres."
"Rempoter le Clusia","Clusia « Princess »","Rempotage","2028-05-20","Tous les 2 ans","À faire","Au printemps, substrat drainant et riche."
"Engrais Clusia","Clusia « Princess »","Engrais","2026-06-20","Une fois par mois (printemps-été)","À faire","Engrais plantes vertes dilué."
"Contrôler le Clusia","Clusia « Princess »","Surveillance","2026-06-20","Contrôle mensuel","À faire","Taches noires = excès d'eau ; chute de feuilles = courant d'air froid."
"Arroser le Caféier","Caféier","Arrosage","2026-05-27","Tous les 5 à 7 jours","À faire","Garder le substrat légèrement humide. Sensible au dessèchement."
"Rempoter le Caféier","Caféier","Rempotage","2027-08-20","Tous les 12 à 18 mois","À faire","Au printemps, substrat riche, légèrement acide et drainant."
"Engrais Caféier","Caféier","Engrais","2026-06-08","Tous les 15 à 21 jours (printemps-été)","À faire","Engrais plantes vertes dilué."
"Contrôler le Caféier","Caféier","Surveillance","2026-06-20","Contrôle mensuel","À faire","Surveiller l'hygrométrie et les acariens (air sec). Brumiser au besoin."
"Arroser le Dragonnier","Dragonnier","Arrosage","2026-06-02","Tous les 10 à 14 jours","À faire","Laisser sécher la moitié du pot. Eau non calcaire de préférence."
"Rempoter le Dragonnier","Dragonnier","Rempotage","2028-11-18","Tous les 2 à 3 ans","À faire","Au printemps. Pot lourd pour la stabilité."
"Engrais Dragonnier","Dragonnier","Engrais","2026-06-20","Une fois par mois (printemps-été)","À faire","Engrais plantes vertes dilué."
"Contrôler le Dragonnier","Dragonnier","Surveillance","2026-06-20","Contrôle mensuel","À faire","Pointes brunes = eau calcaire/fluorée ou air sec."
